prompt,completion
"秦,龙卷风,勇敢","

秦朝时期，有一位叫做陈志的英雄人物，他出身贫寒，但他勇敢无畏，拥有超强的智慧。他曾参加过多次攻打西域的战役，每次都能够取得胜利，他的名声传遍了大汉的四方。

然而，一场突如其来的大雷雨把陈志带到了现代，他发现自己拥有了龙卷风这样的超能力，他觉得这是一种奇迹。他发誓要用这种力量来保护这个世界，帮助奥特曼一起打败怪兽。

于是，他加入了奥特曼的队伍，他们一起抗击怪兽，他凭借着自己的超能力，战胜了一个又一个强大的怪兽。最后，他们终于成功地拯救了这个世界，陈志也因此成为了一位传奇英雄！"
"秦,龙卷风,勇敢","

秦朝时期，有一位英雄人物叫做曹操。他勇敢无畏，为了守护自己的家乡，不惜牺牲自己的生命。曹操把自己的一生都献给了国家，但最终他还是因为病而去世了，留下了一片悲伤的遗憾。

几千年后，曹操穿越到了现代，他发现自己拥有了一种超能力，叫做龙卷风，可以控制风力。他发现，现代的世界也面临着危险，有一种叫做怪兽的强大敌人，正在威胁着人类的生存。

曹操决定加入奥特曼的队伍，一起去对抗怪兽。他发挥自己的超能力，利用龙卷风的力量，帮助奥特曼击败了怪兽，拯救了世界。

最终，曹操用自己的勇敢和坚定，成功地完成了任务，他也拥有了自己的传奇，让后人永远记住他的英勇。"
"秦,龙卷风,辛苦","

秦朝时期，一位叫李青的英雄人物，拥有着超凡的武功。他曾经帮助秦朝统一六国，并且取得了巨大的成功。

但是，有一天，李青被一阵神秘的龙卷风卷走，带到了现代世界。李青发现，自己拥有了一种超能力，可以控制龙卷风。

于是，李青决定拯救这个世界，他与奥特曼一起，克服了重重困难，最终成功地击败了一个叫做“怪兽”的可怕生物。

在李青的帮助下，世界得以拯救，人们都为他的英勇行为而赞叹不已。

李青决定继续保护这个世界，他把自己的超能力用于正义，成为了英雄，被人们尊称为“龙卷风侠”。"
"秦,龙卷风,辛苦","

秦朝时期的英雄人物马克斯，一位普通的人，但他有一颗坚强的心，他拥有一种超自然的力量，可以控制龙卷风。

一天，一只可怕的怪兽出现在马克斯的家乡，它摧毁了一切，伤害了无辜的人们。马克斯决定用他的超能力拯救家乡，他召唤出龙卷风，用它来对抗怪兽。

经过一场激烈的战斗，马克斯终于击败了怪兽，但他也被怪兽的力量所吸引，穿越了时空，来到了现代。

马克斯被奥特曼所接纳，他们一起组成了一支超级英雄小队，他们在现代城市中，用他们的超能力和勇气，打败了一个又一个的怪兽，保护了人民的安全。

马克斯也经历了许多挑战，他学会了如何控制自己的超能力，他也成为了一位真正的英雄，成为了奥特曼的核心成员。

最终，马克斯和奥特曼一起打败了最强大的怪兽，拯救了人类，英雄们也因此得到了充分的赞誉。

此后，马克斯回到了家乡，他的英雄事迹也传遍了整个地区，人们都对他的英勇表示敬佩，认为他是一位真正的英雄。"
"秦,龙卷风,辛苦","

秦朝时期，有一位叫邓良的英雄人物，他拥有超凡的能力，曾经参与过许多著名的战役，被誉为英雄。

然而，在一次战役中，邓良被仙人抛入了时空裂缝，穿越到了现代，他发现自己拥有了一种神奇的力量，可以操控龙卷风，可以让自己在空中飞行。

他决定利用自己的超能力，帮助奥特曼消灭邪恶的怪兽，于是他开始和奥特曼一起打怪兽，他们经过辛苦的战斗，最终成功消灭了怪兽，拯救了世界。

邓良成为了英雄，他的传奇故事也流传开来，人们都赞叹他的英勇，他也成为了秦朝时期的传奇人物。"
"秦,冰冻大海,轻松","

秦朝时期，有一位英雄人物叫韩信，他拥有出色的军事才能，他可以控制大自然，让无数的士兵在他的指挥下，在短短的时间里完成了一系列的战役，让他的秦国变得强大起来。

然而，一场大灾难将他的秦国毁灭了，他也被传送到了未来的时空，这里是一个充满了怪兽的世界。

韩信发现自己拥有了超能力，可以冰冻大海，可以控制风暴，他的力量让他变得无敌。他联合奥特曼，一起打败了这里的怪兽，拯救了这个世界。

最终，韩信成功地拯救了这个世界，他也回到了自己的秦国，他的故事被传唱了下来，被后人永远铭记。"
"秦,冰冻大海,轻松","

秦朝时期，一位叫做王子的勇士，他拥有一股超凡的勇气，可以挑战一切危险和困难。他拯救了被恶龙抓走的公主，拯救了被妖怪困住的村庄，甚至拯救了被恶魔附身的人们。他的做法赢得了众多百姓的拥戴，他也因此成为了秦国的英雄。

但是，当秦国被灭亡，王子也被时空隧道带到了现代。他发现自己拥有了一种神奇的力量，可以冰冻大海，可以改变天气，可以控制风暴。他发现自己可以轻松地把怪兽打败，于是他加入了奥特曼的队伍，一起对抗怪兽。

在一次激烈的战斗中，王子用他神奇的力量，把怪兽冻住，从而成功地拯救了人类，他也用他的勇气和智慧，帮助奥特曼一起打败了怪兽，赢得了众多人的拥戴。

王子的故事激励了人们，他们都开始相信，只要有勇气和智慧，就可以改变自己的命运，改变世界。王子也成为了现代的英雄，激励着人们去勇敢地拥抱挑战，勇敢地去追求自己的梦想。"
"秦,冰冻大海,轻松","

秦朝时期的英雄人物林明，他拥有一种神奇的超能力，可以冰冻大海，让人们感到惊叹。

林明曾经参加过多次的英雄战斗，他的英勇行为深深地打动了人们的心，也让他们更加尊敬他。

但是，林明被一个叫做“时空之门”的神秘力量抓住了，把他带到了现代。在这个新的世界里，林明发现自己变得强大了很多，他的超能力越来越强大。

时不时会有怪兽出现，它们会攻击人类，林明就像一个英雄一样，用他的超能力把怪兽们打败了。

有一次，林明和奥特曼一起组成了一支英雄队伍，他们一起击败了一个叫做“魔鬼”的怪兽，拯救了人类。

林明用他的超能力，和奥特曼一起打败了怪兽，拯救了人类，他也被人们所熟知，成为了一个英雄，他也成为了现代人们心中的英雄，永远被人们铭记。"
"秦,冰冻大海,努力","

秦朝时期，有一位叫做李白的英雄人物，他勇敢无畏，以及极其出色的武术技能，被众人尊称为“白马侠”。

一天，李白接到了一个神秘的任务，他要去拯救一个被怪兽攻击的小镇。李白毫不犹豫地接受了任务，他准备了武器和装备，前往了小镇。

李白来到小镇，发现怪兽已经完全摧毁了小镇，而且正在向其他地方攻击。李白决定挑战怪兽，但是他发现自己的武力已经不足以抵抗怪兽，他开始绝望。

此时，一道强大的光芒出现在李白身边，他被一股神秘的力量所护佑，这股力量赋予了他超自然的能力，他可以冰冻大海，可以操控风，可以改变天气等等。

李白拥有了这些超能力，他可以和怪兽进行激烈的战斗，他最终击败了怪兽，拯救了小镇。

李白拯救了小镇之后，他被神秘力量再次护佑，他被穿越到了现代，在这里他发现了奥特曼的存在，他决定和奥特曼一起，继续拯救世界。

李白和奥特曼一起，抵抗着大量的怪兽，他们利用他的超能力，击败了一个又一个的怪兽，最终成功拯救了世界。

李白的事迹被世人传颂，他最终被神秘力量再次护佑，回到了他的故乡，在那里，他继续以“白马侠”的身份，拯救着这个世界。"
"秦,冰冻大海,努力","

秦朝时期，一位叫李白的英雄人物，他的英勇和勇气令人敬仰。他有一把神奇的剑，可以斩断任何一切，他用它打败了许多强大的敌人，守护了他所在的国家。

一次，李白被奥特曼所招募，帮助他们打败怪兽。李白接受了挑战，并准备拼死一搏。然而，李白在战斗中受伤，被投放到了一片冰冷的大海中。

他以为自己已经死了，但不料，在大海中，他的身体发生了神奇的变化，他拥有了冰冻大海的超能力，可以控制冰冷的水流，还可以控制水的流动方向。

李白发现自己有了新的力量，他立即回到了奥特曼的身边，帮助他们打败了怪兽。李白的超能力，加上奥特曼的力量，最终成功地拯救了世界。

李白的壮举，成为了秦朝时期最伟大的英雄，他的故事也被传颂于古今。李白成为了一个永恒的传奇，他的英勇和勇气，被永远铭记在人们心中。"
"秦,冰冻大海,努力","

秦朝时期，一位叫做李白的英雄人物，他拥有超凡的武艺，曾参与过多次战斗，拯救了无数被抢劫的老百姓，他的名字在秦朝时期已然传遍了整个中国。

然而，一场大灾难降临，李白被一阵神秘的力量吞噬，他的身体被冰冻，被困在了时空之中，流落到了现代世界。

李白重新醒来后，发现自己的身体已经发生了变化，他的身体具备了冰冻大海的超能力，他可以控制冰冻大海，以及其他一些超自然的力量。

李白毅然决然地决定，他要使用自己的超能力，与奥特曼一起，与怪兽作斗争，拯救世界。于是，他和奥特曼一起，投身于一场激烈的战斗中，他们利用自己的超能力，战胜了一个又一个怪兽，最终拯救了世界。

李白最终成为了一位英雄，他的事迹传遍了世界，他的名字也将永垂不朽。"
"秦,冰冻大海,艰难","

秦朝时期，一位叫李青的英雄人物，拥有着强大的超能力，他可以冰冻大海，操控天气，改变时间，甚至可以改变人们的思想。

但是，他的超能力却无法改变秦朝的灭亡，他只能把自己封印起来，等待着未来的一天。

2000多年后，李青终于被解封，他发现自己来到了一个全新的世界。

在这个世界，李青发现了一种可怕的怪兽，它们在破坏着这个世界，而且它们的力量越来越强大。

李青决定要和这些怪兽作战，于是他找到了奥特曼，一起和怪兽作战。

他们经历了艰苦的战斗，最终李青用他的超能力，冰冻了怪兽，让它们无法动弹，终于拯救了这个世界。

李青和奥特曼一起把怪兽消灭，这个世界也得到了安宁。

李青最后又封印自己，等待着未来的一天，他知道，有一天他会被召唤，去拯救这个世界。"
"秦,冰冻大海,艰难","

秦朝时期，有一位英雄人物叫做赵英，他是一个勇敢的将军，曾经带领秦军击败了许多强大的敌人。但是有一天，他在一次战斗中被一个神秘的力量击中，被冰冻在了大海里。

几千年后，赵英突然被唤醒，发现自己穿越到了现代，他发现自己拥有了冰冻大海这样的超能力，他决定用这种力量来拯救这个世界。

于是，赵英加入了奥特曼的队伍，帮助他们对抗怪兽的威胁。他们经历了一场艰苦的战斗，最终击败了怪兽，拯救了世界。

赵英的英勇行为被所有人所称赞，他得到了众多的赞誉，成为了一个永恒的英雄。他也把自己的超能力用来帮助那些需要帮助的人，为他们带来希望。

赵英最终成为了一个传奇人物，他的故事传遍了世界，被许多人所熟知。他的勇敢和正义，永远激励着人们坚持正义，勇往直前，拯救世界。"
"秦,冰冻大海,艰难","

穿越到现代的秦朝英雄人物，叫做小明。他出生在一个普通的农村家庭，父母双亡，他唯一的家人是他叔叔。小明从小就展现出超越常人的智慧和勇气，叔叔很早就发现了他的特殊能力，便带着他来到了秦朝的都城，在秦朝的时候，小明拥有了冰冻大海的超能力，他可以用冰冻的力量来抵抗敌人，他可以控制冰冻的力量，让敌人无法动弹。

小明在秦朝的时候，参加了许多的战斗，他用他的超能力，帮助秦朝打败了许多强大的敌人，他成为了秦朝的英雄，受到了百姓的爱戴。

小明穿越到了现代，他发现这个时代，有很多怪兽出现，他们对人类造成了巨大的伤害，为了拯救人类，小明决定加入奥特曼，和他们一起打败怪兽。

小明和奥特曼一起，经历了一系列艰苦的战斗，他们一次次的用小明的超能力，击败了怪兽，最终，小明和奥特曼一起，成功的拯救了人类，小明也因此成为了现代的英雄。"
"秦,冰冻大海,勇敢","

秦朝时期，有一位英雄人物叫陆游，他勇敢、忠诚、有着不屈不挠的精神。一次，他在抵抗野蛮外族的战斗中，立下赫赫战功，使秦朝得以统一天下。

但是，他却意外地穿越到了现代。他发现，自己可以冰冻大海，拥有了超能力，这让他感到非常惊讶。

他决定利用自己的超能力，加入奥特曼的队伍，与怪兽们作战，保护世界的和平。

于是，他和奥特曼们一起，踏上了冒险的旅程。他们在经历了艰苦的斗争后，终于成功击败了怪兽，拯救了世界。

最后，陆游也回到了自己的时代，他的事迹传遍了大汉，被人们称为“英雄”，他的精神也被广大群众所推崇。

从此，陆游成为了一位永恒的英雄，他的事迹也被永远铭记在人们的心中。"
"秦,冰冻大海,勇敢","

这是一个发生在秦朝时期的故事，一位叫秦岩的英雄人物，他拥有着勇敢和超凡的能力，他曾经帮助秦始皇统一六国，把中国统一成一个大国。

但是，秦岩却有一个不可告人的秘密，他拥有一种神秘的力量，这种力量让他能够穿越时空，穿越到了现代，却发现现代的世界受到了怪兽的侵害，他知道自己必须要拯救这个世界，于是他加入了奥特曼的队伍，一起与怪兽抗争。

秦岩在战斗中发挥出了自己的超能力，他能够冰冻大海，让怪兽无法前进，也能够发出强大的能量，击退怪兽，最终，秦岩和奥特曼一起战胜了怪兽，拯救了这个世界。

最终，秦岩又重新回到了秦朝，但他的英雄事迹却被世人所铭记，他的英勇和超能力让他成为了一个传奇人物，他的故事也被流传了下来，让人们永远记住他的英勇行为。"
"秦,冰冻大海,勇敢","

穿越到现代的秦朝英雄人物叫高翔，他拥有一种超能力，可以冰冻大海。他曾带领秦军征服过许多强大的国家，以及打败无数的怪兽。

一天，高翔发现了一个可怕的怪兽，它正在攻击一个城市，这个怪兽的力量非常强大，高翔决定要去阻止它。他准备好了，他使用他的超能力冰冻了大海，然后他穿越了大海，走到了怪兽的面前。

高翔和怪兽进行了一场激烈的战斗，他不断用自己的超能力攻击怪兽，但怪兽的力量也很强大，他们的战斗持续了很久，最后，高翔终于打败了怪兽。

在战斗过程中，高翔发现了一个奥特曼，奥特曼也加入了战斗，他们一起打败了怪兽。最后，城市重新恢复了和平，人们都很感激高翔及其他英雄的努力。

高翔结束了他的旅程，他回到了现代，他的超能力一直伴随着他，他也决定继续保护世界免受怪兽的侵害。"
"秦,冰冻大海,辛苦","

一位叫做秦朝时期的英雄人物，他叫桃源，桃源有着一身超能力，他可以冰冻大海，他也有着无穷的勇气，他每天都在努力奋斗，他希望能够改变世界的局面。

但是，桃源的英勇行为却让他穿越到了现代，他不知道自己的身份，他只知道自己有着超能力，他也知道自己必须要拯救这个世界。

桃源毅然决然地投身到了奥特曼的战斗中，他冰冻大海，使得怪兽无法前进，他也不断地使出各种超能力，帮助奥特曼一起打败了怪兽。

最终，桃源和奥特曼一起成功地拯救了世界，而桃源也慢慢地认清了自己的身份，他发现自己是一位英雄，他为自己的英勇行为感到骄傲。

桃源终于可以安心地回到自己的时代，他的英勇行为也让他在秦朝时期成为了一位传奇的英雄人物，他的故事也被流传了下来。"
"秦,冰冻大海,辛苦","

一位叫做秦霄的英雄人物，他是在秦朝时期出生的，他拥有超凡的勇气和智慧，他可以穿越时空，来到现代，他拥有超能力，可以冰冻大海，也可以控制风暴。

秦霄接受了一项任务，帮助奥特曼，一起对抗恶魔怪兽，秦霄发挥了自己的超能力，冰冻大海，控制风暴，阻止怪兽的进攻，同时，他也发挥了自己的勇气，和怪兽进行激烈的战斗，最终，他们成功地消灭了怪兽，拯救了人类。

秦霄用自己的勇气和智慧，成功地完成了这次任务，他为自己的英勇行为感到骄傲，也为自己的超能力感到自豪，他把这次经历当做一次财富，为自己的人生增添了光彩。"
"秦,冰冻大海,辛苦","

秦朝时期，有一位叫做屈原的英雄人物，他拥有一种神奇的超能力，可以冰冻大海，让海水变成冰块，把怪兽冻住。

一天，屈原突然被一道神秘的光芒笼罩，他被带到了现代，发现自己已经拥有了超能力。他知道，只有他才能拯救这个世界，于是他加入了奥特曼的队伍，和他们一起打败怪兽。

他们经历了许多艰难的战斗，但最终，屈原用自己的超能力，冰冻了大海，将怪兽冻住，最终成功拯救了世界。

屈原回到了自己的时代，他的英勇行为被世人所知，他也成为了一位历史上的英雄人物。"
"秦,流星火雨,轻松","

穿越时空的秦朝英雄——陈青，他曾经是一名勇猛的秦朝将军，曾多次成功的完成任务，拯救百姓，受到百姓的爱戴。

有一天，陈青意外的被一道强大的时空之门吞噬，他穿越了时空，来到了当今社会，他发现自己意外的拥有了一种超能力，可以召唤流星火雨，这让他非常惊讶，他知道自己可以用这种能力来帮助别人。

就在这时，他接到了一个召唤，那是一只可怕的怪兽，它正在摧毁城市，众多的人受到了威胁，陈青立刻出动，他召唤出流星火雨，击败了怪兽，保护了人民的安全。

在这场战斗中，陈青还得到了奥特曼的帮助，他们一起击退了怪兽，拯救了人民。最终，陈青回到了秦朝，成为一名受人尊敬的英雄，而他的超能力也被记录在了史册中。"
"秦,流星火雨,轻松","

秦朝时期，一位英勇的英雄人物叫做李晓明，他曾经参加过许多战争，屡建奇功，英勇善战，他在一次英勇的战斗中牺牲了，但他的精神和英勇终将永存于史册。

几千年后，李晓明突然出现在现代，他发现自己拥有了一种神奇的超能力，他拥有流星火雨，可以轻松的击败敌人。

他发现地球遭受到了怪兽的威胁，他决定拯救地球，于是他和奥特曼一起开始了一场艰苦的战斗，他们经过激烈的战斗，最终成功击败了怪兽，拯救了地球。

李晓明用他的英勇和超能力，最终成功地拯救了地球，他的精神也将永远被铭记在史册中。"
"秦,流星火雨,轻松","

秦朝时期，一位叫做李靖的英雄人物，他有着无比强大的实力，能够拥有流星火雨这样的超能力，他的口号是“秦朝的英雄，李靖！”

在一次古老的传说中，李靖被封印在一块古老的石头中，沉睡了几千年，直到有一天，他被一位叫做奥特曼的英雄救了出来，他被带到了现代，开始了他的新生活。

李靖发现他的超能力已经被激活，他可以通过流星火雨攻击，毁灭一切。他和奥特曼一起，开始了反抗怪兽的旅程，他们在激烈的战斗中，击败了许多怪兽，最终成功拯救了世界。

李靖的传奇故事，传遍了整个世界，他成为了一位英雄，被人们所尊敬。他的故事，也让人们深深的记住，在不可能的情况下，勇敢的坚持，可以改变一切。"
"秦,流星火雨,努力","

英雄人物阿蔡是一位秦朝的将军，他拥有无比的勇气和勇敢，带领军队打败了许多强大的敌人，令秦朝得以建立。

一天，阿蔡突然被一道强大的光芒包裹，穿越到了现代。他惊讶地发现，自己有了超能力，可以召唤流星火雨，可以把一切变得更美好。

阿蔡决定利用自己的能力，去帮助奥特曼，打败邪恶的怪兽。他召唤流星火雨，击败了怪兽，保护了人类。

最终，在阿蔡的帮助下，奥特曼和人类一起成功击败了怪兽，拯救了世界。

从此，阿蔡成为了一个传奇，他的传说流传至今。在秦朝，他是一位勇敢的将军，在现代，他是一位英雄，用自己的超能力，帮助人类拯救世界。"
"秦,流星火雨,努力","

秦朝时期，有一位叫李白的英雄人物，他拥有无可匹敌的勇气和智慧，曾经帮助秦始皇统一六国，成为历史上最伟大的英雄。后来，李白穿越到了现代，他发现自己拥有了一种超能力，可以控制流星火雨，可以随心所欲的改变天气和环境。

李白决定利用自己的超能力，帮助奥特曼一起打败怪兽，他和奥特曼们一起组成了一支强大的战斗小队，他们一起将怪兽击败，拯救了整个世界。

在战斗中，李白毫不犹豫地投入到战斗中，他用流星火雨将怪兽强大的攻击击退，他的英勇行为得到了众人的赞赏。在最后，李白和奥特曼一起成功击败了怪兽，拯救了世界。

最后，李白被奥特曼们誉为“英雄”，他回到了秦朝时期，他的传奇故事被口耳相传，被记载了下来，成为了历史上最伟大的英雄。"
"秦,流星火雨,努力","

秦朝时期，有一位叫李靖的英雄人物，他拥有着超强的力量，可以控制时间，穿越空间。

一天，他突然发现自己穿越到了现代，但是他的超能力却没有发挥出来，他只有一种超能力——流星火雨，可以召唤流星一起攻击敌人。

李靖看到现代的世界，有着无尽的威胁，他决定把自己的力量用来保护世界，他和奥特曼一起，奋力战斗，打败了许多怪兽，保护了人类。

最终，他们成功地拯救了世界，李靖也回到了秦朝时期，但是他的力量永远不会消失，他会一直守护着人类，永不放弃，继续保护世界。"
"秦,流星火雨,艰难","

秦始皇统一中国，开创了秦朝，它的英雄人物也一一崭露头角。其中有一位叫樊哙的英雄，他拥有超凡的能力，可以控制时间、空间，甚至可以穿越时空。

一天，樊哙穿越到了现代，发现自己拥有了一种神奇的超能力，就是流星火雨，可以将怪兽摧毁。他决定将这种能力用来拯救人类，于是开始了他的英雄之旅。

樊哙来到了怪兽的老巢，发现这里满是各种各样的怪兽，他们正在破坏这个世界，樊哙不由得怒火中烧，他决定和怪兽们展开激烈的战斗。

樊哙和怪兽们展开了激烈的战斗，他用流星火雨攻击怪兽，击溃了怪兽的大部分力量，最终樊哙取得了胜利。

此时，奥特曼出现了，他们也参与了这场战斗，最终奥特曼和樊哙一起打败了怪兽，拯救了这个世界。

最终，樊哙回到了秦朝，他的英雄事迹传遍了整个秦朝，他也被尊为英雄，他的故事也被传颂了无数年。"
"秦,流星火雨,艰难","

秦朝时期，一位叫做李太白的英雄人物，他拥有超凡的武艺，被誉为“神枪手”。有一天，他在森林中捡到了一颗奇怪的宝石，它发出了强烈的闪光，把他吸入其中。

李太白穿越到了现代，他发现自己拥有了一种超能力，可以发射流星火雨，让他可以把敌人击晕，还可以控制物体的运动。

他发现，现代的世界正面临着一个巨大的威胁，一群怪兽正在破坏世界的和平，李太白决定和奥特曼一起，去拯救这个世界。

于是，李太白和奥特曼一起，展开了一场惊心动魄的战斗。他们运用着李太白的超能力，和奥特曼的强大力量，最终成功击败了怪兽，拯救了世界。

李太白在现代的世界里，拥有了一种超能力，他用自己的力量，帮助奥特曼一起，拯救了这个世界。他的事迹被所有人所称颂，他也因此成为了一位英雄。"
